node_id,lat,lon,out_degree,in_degree
9049,-40.875,98.875,754,686
9152,-40.875,304.875,572,452
9156,-40.875,312.875,558,469
9159,-40.875,318.875,636,577
9161,-40.875,322.875,963,980
9162,-40.875,324.875,800,844
9164,-40.875,328.875,536,546
9168,-40.875,336.875,642,507
9169,-40.875,338.875,1013,910
9170,-40.875,340.875,854,819
9171,-40.875,342.875,709,756
9172,-40.875,344.875,536,528
9176,-40.875,352.875,715,635
9177,-40.875,354.875,661,602
9180,-42.875,0.875,528,520
9181,-42.875,2.875,563,513
9182,-42.875,4.875,560,523
9192,-42.875,24.875,678,627
9193,-42.875,26.875,746,682
9195,-42.875,30.875,567,437
9197,-42.875,34.875,699,700
9198,-42.875,36.875,904,927
9199,-42.875,38.875,1016,1147
9200,-42.875,40.875,1002,1066
9201,-42.875,42.875,1002,1025
9202,-42.875,44.875,539,539
9203,-42.875,46.875,728,687
9206,-42.875,52.875,612,778
9213,-42.875,66.875,779,650
9214,-42.875,68.875,557,542
9215,-42.875,70.875,606,619
9218,-42.875,76.875,542,476
9220,-42.875,80.875,642,465
9225,-42.875,90.875,589,472
9338,-42.875,316.875,632,612
9340,-42.875,320.875,644,552
9342,-42.875,324.875,562,501
9343,-42.875,326.875,647,699
9348,-42.875,336.875,873,764
9349,-42.875,338.875,930,843
9350,-42.875,340.875,1183,1110
9351,-42.875,342.875,723,552
9356,-42.875,352.875,707,640
9357,-42.875,354.875,776,648
9358,-42.875,356.875,889,775
9360,-44.875,0.875,621,642
9361,-44.875,2.875,527,547
9362,-44.875,4.875,628,697
9363,-44.875,6.875,565,535
9364,-44.875,8.875,777,682
9366,-44.875,12.875,722,626
9367,-44.875,14.875,646,530
9368,-44.875,16.875,641,522
9370,-44.875,20.875,735,604
9371,-44.875,22.875,855,747
9372,-44.875,24.875,634,540
9373,-44.875,26.875,838,837
9374,-44.875,28.875,697,599
9378,-44.875,36.875,605,578
9379,-44.875,38.875,623,625
9380,-44.875,40.875,794,816
9381,-44.875,42.875,741,705
9382,-44.875,44.875,530,536
9383,-44.875,46.875,692,702
9384,-44.875,48.875,665,841
9388,-44.875,56.875,587,588
9391,-44.875,62.875,614,664
9392,-44.875,64.875,730,799
9393,-44.875,66.875,547,487
9400,-44.875,80.875,628,527
9401,-44.875,82.875,935,810
9404,-44.875,88.875,640,574
9405,-44.875,90.875,608,508
9406,-44.875,92.875,885,828
9407,-44.875,94.875,600,574
9522,-44.875,324.875,681,625
