metric,DJF,JJA
total_hubs,540.0,545.0
nh_hubs,191.0,40.0
nh_pct,35.37037037037037,7.339449541284404
sh_hubs,349.0,505.0
sh_pct,64.62962962962962,92.66055045871559
mean_hub_lat,-17.41574074074074,-38.72454128440367
mean_nh_hub_lat,40.55955497382199,47.375
mean_sh_hub_lat,-49.144340974212035,-45.54430693069307
mean_hub_outdegree,684.3407407407408,362.8146788990826
mw_u_stat,160035.5,
mw_p_value,0.006188909310744608,
chi2_stat,125.51453990385127,
chi2_p_value,3.927021180080913e-29,
