metric,DJF,JJA,DJF_minus_JJA
directed_edges,1145959.0,593363.0,552596.0
mean_out_degree,106.10731481481481,54.94101851851852,51.166296296296295
median_out_degree,5.0,5.0,0.0
std_out_degree,185.48754241441102,96.37354285241143,89.11399956199959
max_out_degree,1278.0,765.0,513.0
link_density,0.009825661155182408,0.005087602418605289,0.004738058736577119
